epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,26925.2,1.10376,0.90329,1.32362,0.68146,0.66522,0.64813,0.34067,2.34493,1.51632,1.53877,0.00174749,0.000582497,0.00174749,0.000582497,0.00174749,0.000582497,0.00174749,0.000582497
48,27488.5,1.0997,0.90992,1.32618,0.70607,0.67721,0.64468,0.33447,2.34154,1.54601,1.51857,0.00167676,0.000558921,0.00167676,0.000558921,0.00167676,0.000558921,0.00167676,0.000558921
49,28063.3,1.09368,0.89428,1.32817,0.68681,0.66597,0.63601,0.32701,2.39831,1.56979,1.55607,0.00160604,0.000535345,0.00160604,0.000535345,0.00160604,0.000535345,0.00160604,0.000535345
50,28615.3,1.07011,0.88543,1.31362,0.69385,0.68883,0.65131,0.33716,2.27803,1.55285,1.50384,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
51,29173.9,1.06825,0.88322,1.31564,0.70495,0.66762,0.64375,0.33554,2.33033,1.48556,1.5239,0.00146458,0.000488193,0.00146458,0.000488193,0.00146458,0.000488193,0.00146458,0.000488193
52,29734.7,1.08698,0.88325,1.32139,0.68207,0.65508,0.63708,0.33578,2.41482,1.5248,1.53947,0.00139385,0.000464617,0.00139385,0.000464617,0.00139385,0.000464617,0.00139385,0.000464617
53,30294.2,1.06197,0.85943,1.30561,0.72507,0.68512,0.67817,0.35727,2.21034,1.47767,1.44797,0.00132312,0.000441041,0.00132312,0.000441041,0.00132312,0.000441041,0.00132312,0.000441041
54,30851.5,1.05438,0.84878,1.29865,0.70035,0.65746,0.63042,0.33988,2.34989,1.6958,1.52774,0.00125239,0.000417464,0.00125239,0.000417464,0.00125239,0.000417464,0.00125239,0.000417464
55,31409,1.05805,0.87477,1.30703,0.69079,0.66742,0.63454,0.34075,2.34033,1.60198,1.52315,0.00118166,0.000393888,0.00118166,0.000393888,0.00118166,0.000393888,0.00118166,0.000393888
56,31966.2,1.05272,0.85185,1.30756,0.69601,0.67522,0.64085,0.3346,2.31141,1.55467,1.48786,0.00111094,0.000370312,0.00111094,0.000370312,0.00111094,0.000370312,0.00111094,0.000370312
57,32526.6,1.04803,0.84117,1.29017,0.71443,0.68124,0.65674,0.34383,2.25488,1.57472,1.47856,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
58,33084.7,1.04508,0.82899,1.29743,0.70279,0.68194,0.63565,0.33475,2.34048,1.56791,1.51441,0.00096948,0.00032316,0.00096948,0.00032316,0.00096948,0.00032316,0.00096948,0.00032316
59,33653.2,1.04101,0.83853,1.30028,0.7102,0.67474,0.64199,0.33736,2.31168,1.44836,1.49735,0.000898751,0.000299584,0.000898751,0.000299584,0.000898751,0.000299584,0.000898751,0.000299584
60,34208.1,1.01483,0.81392,1.2748,0.71333,0.68086,0.6518,0.34101,2.31653,1.52663,1.52431,0.000828023,0.000276008,0.000828023,0.000276008,0.000828023,0.000276008,0.000828023,0.000276008
61,34766.5,1.07057,0.71529,1.34576,0.71506,0.66737,0.637,0.33873,2.34356,1.52093,1.53623,0.000757294,0.000252431,0.000757294,0.000252431,0.000757294,0.000252431,0.000757294,0.000252431
62,35338.9,1.03709,0.68954,1.32317,0.72467,0.67538,0.65165,0.34966,2.36749,1.51748,1.54114,0.000686566,0.000228855,0.000686566,0.000228855,0.000686566,0.000228855,0.000686566,0.000228855
63,35892.9,1.02818,0.67549,1.30999,0.7239,0.6704,0.65643,0.34495,2.3464,1.49718,1.53746,0.000615837,0.000205279,0.000615837,0.000205279,0.000615837,0.000205279,0.000615837,0.000205279
64,36446.6,1.01557,0.66781,1.30766,0.72034,0.67973,0.65898,0.3489,2.31962,1.5219,1.5227,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
65,37002.2,1.02048,0.66137,1.30654,0.7161,0.66032,0.65515,0.34972,2.38442,1.53753,1.55967,0.000474381,0.000158127,0.000474381,0.000158127,0.000474381,0.000158127,0.000474381,0.000158127
66,37557.1,1.00351,0.65424,1.3025,0.71664,0.66913,0.65288,0.34615,2.362,1.52446,1.53634,0.000403652,0.000134551,0.000403652,0.000134551,0.000403652,0.000134551,0.000403652,0.000134551
67,38113.4,1.00035,0.64761,1.29984,0.70945,0.65793,0.63943,0.34513,2.44126,1.57543,1.58872,0.000332924,0.000110975,0.000332924,0.000110975,0.000332924,0.000110975,0.000332924,0.000110975
68,38665.2,0.98487,0.63333,1.28048,0.70793,0.67666,0.65281,0.34872,2.40066,1.5346,1.56173,0.000262195,8.73984e-05,0.000262195,8.73984e-05,0.000262195,8.73984e-05,0.000262195,8.73984e-05
69,39238.9,0.9977,0.64431,1.29586,0.70636,0.67368,0.64559,0.34662,2.4225,1.54793,1.57852,0.000191467,6.38223e-05,0.000191467,6.38223e-05,0.000191467,6.38223e-05,0.000191467,6.38223e-05
70,39797.2,0.98172,0.63735,1.28535,0.71901,0.66747,0.64865,0.34869,2.41797,1.53751,1.57979,0.000120738,4.02461e-05,0.000120738,4.02461e-05,0.000120738,4.02461e-05,0.000120738,4.02461e-05
